date,amount,category,description
01-08-2025,65000,Salary Credit,Monthly Salary
05-08-2025,450,Food & Dining,Zomato Order
05-08-2025,280,Transport,Uber to Office
06-08-2025,2100,Groceries,Grocery Shopping - DMart
07-08-2025,1150,Bills & Utilities,Electricity Bill Payment
10-08-2025,3200,Shopping,Myntra Shopping
12-08-2025,950,Entertainment,Movie Tickets - PVR
15-08-2025,2500,Food & Dining,Dinner at BBQ Nation
18-08-2025,650,Transport,Ola from Airport
20-08-2025,719,Bills & Utilities,Phone Recharge - Jio
25-08-2025,600,Groceries,Swiggy Instamart
28-08-2025,1500,Shopping,Amazon Purchase

01-09-2025,65000,Salary Credit,Monthly Salary
01-09-2025,25000,Rent,Monthly Rent
02-09-2025,350,Food & Dining,Starbucks Coffee
05-09-2025,320,Transport,Uber to Client Meeting
07-09-2025,950,Bills & Utilities,Internet Bill - ACT Fibernet
10-09-2025,8500,Travel,Weekend Getaway - Lonavala
15-09-2025,1800,Food & Dining,Lunch with Team
19-09-2025,550,Health,Pharmacy - Apollo
22-09-2025,649,Entertainment,Netflix Subscription
26-09-2025,300,Transport,Local Train Pass
30-09-2025,2800,Groceries,Groceries - BigBasket

01-10-2025,65000,Salary Credit,Monthly Salary
01-10-2025,25000,Rent,Monthly Rent
03-10-2025,5500,Shopping,Diwali Shopping - Zara
04-10-2025,550,Food & Dining,Zomato Order
05-10-2025,2000,Transport,Fuel for Car
07-10-2025,850,Bills & Utilities,Gas Bill Payment
